contrast_type,evaluation_mode,candidate_pool,system,baseline,metric,n_queries,delta,ci_low,ci_high,p_value,p_value_corrected,significant,first_stage,reranker,depth
vs_baseline,job_to_talent,full,sheared_llama,bm25,hit@10,177,-0.01694915254237288,-0.0847457627118644,0.05084745762711865,0.6864,1.0,False,,,
vs_baseline,job_to_talent,full,snowflake,bm25,hit@10,177,0.07909604519774012,0.005649717514124294,0.15254237288135594,0.0441,0.249,False,,,
vs_baseline,job_to_talent,full,bge,bm25,recall@10,177,-0.06723163841807908,-0.12588848533763783,-0.008943032015065954,0.0273,0.1976,False,,,
vs_baseline,job_to_talent,full,bge-base,bm25,recall@10,177,-0.12617947024726686,-0.17664783427495293,-0.0790446841294299,0.0,0.0,True,,,
vs_baseline,job_to_talent,full,bge-large,bm25,recall@10,177,-0.10725291657495047,-0.16152254995475335,-0.055602055665615005,0.0001,0.0011,True,,,
vs_baseline,job_to_talent,full,jina,bm25,recall@10,177,0.04557438794726929,-0.012610304008609043,0.1048974307237019,0.1284,0.6419999999999999,False,,,
vs_baseline,job_to_talent,full,minilm,bm25,recall@10,177,0.022159855210702663,-0.03190714652579059,0.07710510064323618,0.4282,1.0,False,,,
vs_baseline,job_to_talent,full,mpnet,bm25,recall@10,177,0.010537579181646979,-0.04623608971066596,0.06628167265879129,0.7117,1.0,False,,,
vs_baseline,job_to_talent,full,qwen,bm25,recall@10,177,0.06594516594516595,0.00912166458776631,0.12436828943184872,0.0247,0.1976,False,,,
vs_baseline,job_to_talent,full,qwen3_embedding,bm25,recall@10,177,0.0693166532149583,0.008191081517352712,0.13131591337099813,0.0261,0.1976,False,,,
vs_baseline,job_to_talent,full,qwen3_embedding4,bm25,recall@10,177,0.12913456599897274,0.06643061975689095,0.1948538349597671,0.0,0.0,True,,,
vs_baseline,job_to_talent,full,qwen3_embedding8,bm25,recall@10,177,0.10551275466529701,0.0457188409518918,0.1675164783427495,0.0006,0.005999999999999999,True,,,
vs_baseline,job_to_talent,full,qwen4,bm25,recall@10,177,0.11082434514637905,0.044490516545601294,0.1782409751265683,0.0014,0.0126,True,,,
vs_baseline,job_to_talent,full,qwen8,bm25,recall@10,177,0.14904982023626093,0.08310905666837876,0.21691457553745688,0.0,0.0,True,,,
vs_baseline,job_to_talent,full,sheared_llama,bm25,recall@10,177,-0.01303470540758676,-0.0696808582189938,0.042240718321226764,0.6476,1.0,False,,,
vs_baseline,job_to_talent,full,snowflake,bm25,recall@10,177,0.027491011813045706,-0.027409797123780173,0.08248170261941448,0.3199,1.0,False,,,
vs_baseline,job_to_talent,full,bge,bm25,recall@20,177,-0.10286765964732068,-0.16712653166042996,-0.040061633281972334,0.0019,0.0136,True,,,
vs_baseline,job_to_talent,full,bge-base,bm25,recall@20,177,-0.17240198596130799,-0.22792088561156357,-0.1184153887543718,0.0,0.0,True,,,
vs_baseline,job_to_talent,full,bge-large,bm25,recall@20,177,-0.14984591679506934,-0.2107753686990975,-0.0892439528456478,0.0,0.0,True,,,
vs_baseline,job_to_talent,full,jina,bm25,recall@20,177,0.04453860640301318,-0.016656914178100588,0.10772128060263651,0.1583,0.7915,False,,,
vs_baseline,job_to_talent,full,minilm,bm25,recall@20,177,0.03529544843104167,-0.02748115232225401,0.10010882126348225,0.2788,0.8364,False,,,
vs_baseline,job_to_talent,full,mpnet,bm25,recall@20,177,0.025201775625504436,-0.038405804412160335,0.09107563223029325,0.4493,0.8986,False,,,
